iso3_code,country,admin1_code,admin1_name,date,year,quarter,ntlmean_quarterly,ntlsum_quarterly,time,fullname,id,treated
CMR,Cameroun (le),CM001,Adamaoua,2013_Q1,2013,Q1,.27093899,40.999977,1,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2013_Q2,2013,Q2,.25307783,38.297131,2,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2013_Q3,2013,Q3,.21824299,33.025726,3,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2013_Q4,2013,Q4,.22670163,34.305737,4,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2014_Q1,2014,Q1,.23056711,34.890682,5,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2014_Q2,2014,Q2,.19271894,29.163288,6,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2014_Q3,2014,Q3,.16235426,24.568338,7,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2014_Q4,2014,Q4,.23214792,35.129898,8,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2015_Q1,2015,Q1,.27686137,41.896183,9,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2015_Q2,2015,Q2,.26050228,39.420635,10,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2015_Q3,2015,Q3,.20942874,31.691906,11,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2015_Q4,2015,Q4,.33170378,50.19524,12,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2016_Q1,2016,Q1,.22306485,33.755398,13,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2016_Q2,2016,Q2,.16865844,25.522322,14,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2016_Q3,2016,Q3,.16042797,24.276842,15,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2016_Q4,2016,Q4,.20437922,30.927784,16,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2017_Q1,2017,Q1,.25811434,39.059277,17,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2017_Q2,2017,Q2,.20218661,30.595987,18,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2017_Q3,2017,Q3,.1529275,23.141829,19,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2017_Q4,2017,Q4,.20805699,31.484325,20,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2018_Q1,2018,Q1,.19939995,30.174295,21,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2018_Q2,2018,Q2,.14035808,21.239754,22,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2018_Q3,2018,Q3,.12643147,19.132303,23,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2018_Q4,2018,Q4,.17286006,26.158133,24,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2019_Q1,2019,Q1,.17720529,26.815678,25,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2019_Q2,2019,Q2,.15422972,23.338886,26,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2019_Q3,2019,Q3,.10765196,16.290487,27,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2019_Q4,2019,Q4,.15352105,23.231647,28,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2020_Q1,2020,Q1,.22914307,34.675186,29,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2020_Q2,2020,Q2,.10628594,16.083773,30,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2020_Q3,2020,Q3,.10043697,15.198674,31,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2020_Q4,2020,Q4,.12789603,19.353928,32,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2021_Q1,2021,Q1,.14155242,21.42049,33,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2021_Q2,2021,Q2,.11362044,17.193668,34,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2021_Q3,2021,Q3,.11006166,16.655134,35,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2021_Q4,2021,Q4,.15659066,23.696159,36,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2022_Q1,2022,Q1,.21529743,32.57999,37,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2022_Q2,2022,Q2,.19262788,29.149508,38,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2022_Q3,2022,Q3,.16825138,25.460722,39,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2022_Q4,2022,Q4,.270619,40.951553,40,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2023_Q1,2023,Q1,.27989906,42.355865,41,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2023_Q2,2023,Q2,.22694901,34.34317,42,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2023_Q3,2023,Q3,.22640808,34.261314,43,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2023_Q4,2023,Q4,.28247467,42.745617,44,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2024_Q1,2024,Q1,.27486104,41.593483,45,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2024_Q2,2024,Q2,.19369531,29.311037,46,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2024_Q3,2024,Q3,.16016202,24.236595,47,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM001,Adamaoua,2024_Q4,2024,Q4,.26917094,40.732426,48,"Adamaoua, Cameroun (le)",2,0
CMR,Cameroun (le),CM002,Centre,2013_Q1,2013,Q1,.26807991,33.188293,1,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2013_Q2,2013,Q2,.28577429,35.378857,2,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2013_Q3,2013,Q3,.2547071,31.53274,3,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2013_Q4,2013,Q4,.24739689,30.627735,4,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2014_Q1,2014,Q1,.24204387,29.965031,5,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2014_Q2,2014,Q2,.26434398,32.725784,6,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2014_Q3,2014,Q3,.22863966,28.30559,7,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2014_Q4,2014,Q4,.27414495,33.939144,8,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2015_Q1,2015,Q1,.26931092,33.340691,9,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2015_Q2,2015,Q2,.2681607,33.198296,10,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2015_Q3,2015,Q3,.2729297,33.7887,11,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2015_Q4,2015,Q4,.34416926,42.608154,12,"Centre, Cameroun (le)",19,0
CMR,Cameroun (le),CM002,Centre,2016_Q1,2016,Q1,.24759917,30.652779,13,"Centre, Cameroun (le)",19,0
